video_id,title,likes,rank
52RhmAzJUbU,Amarilis Paris (Ile de France) - Satya Malouda,5637,1
gCHwrfO00xc,Go Moto (Nouvelle Aquitaine) - Ethan Piboyeux,2177,2
bfMiMMGYCW0,Mad’in food truck  (Outre mer) - Meddy LUCE,1793,3
kbMClUT69KE,Clickids  (Ile-de-France ) - Oumayma Ben Khlifa,1786,4
oOrT1_LOADM,Gamesens (Ile-de-France)  -   Léo Weishard,1451,5
kv6_uCdTvJM,Miscanterra (Hauts de France) - Alex Babayan,1438,6
Ol91C4pV3kA,Les Trésors d'Ulysse (Hauts de France) - Gaëlle Vasse,1431,7
mEzVlJuxkX8,Immonator (Ile de France) - Andreas Gauthier,1327,8
5FjGLct9MQk,LuminyShop (Sud) - Michael Jeanmonod,1254,9
hoA6ZAlniU4,Van&Camp (Occitanie) - Célia Lauret,1192,10
_bc5qhnNgJM,LC (Hauts de France) - Brice Moscatello,1123,11
rFiK84r-V5I,NeoSense (Ile de France) - Pierrick Legrand,1118,12
cW2UNYLYPBI,HKN Corporation (Grand Est) - Quentin Hamza,1083,13
v-GB9kFVNfU,The Pool (Ile de France) - Elone Bohbot,1063,14
qwnnen-UKoY,Mister Ouistiti  (Ile-de-France)   -   Eric LA,910,15
Pa3lv31yUKI,Rembobine  (Auvergne Rhône Alpes) - Juliette Milhaud,850,16
PSd7E9cGbZ0,Omega Bon ! (Provence-Alpes-Côte d'Azur) - Kimberly Mare,835,17
6_-1WnTcIBM,Phyllia (Ile-de-France) -  TrueFalse,793,18
j0s2-clRSTs,LeadLink (Bourgogne-Franche-Comté) -  Shana Husejnovic,761,19
ubuzTQ9vQSc,Recoped (Hauts de France) - Bilal Chikh,738,20
RentS8rqrpc,Des Terres Minées (Ile-de-France) - Ayoub Kacemi,718,21
BK1rMNeBrTQ,Ozé (Sud) - Agathe Morandeau,702,22
W5320T8taPo,uplace (Auvergne-Rhône-Alpes) - Baptiste Menetrier,673,23
UN8OFcHhnxQ,Alpaga (Ile de France) - Mathilde Jacquotot,629,24
uESKaMXYbgo,EDÈN Group (Auvergne Rhône Alpes) - Samuel Klahitom,561,25
Z3mnvyefg2E,Parsewaves (Normandie) - Paul Brémond,529,26
mX0-YTqNVtE,AWHERE (Ile de France) - Lisa Cauwel,523,27
rt0xptR_ViQ,hygge & lecture (Hauts de France) - Lisa Menet,497,28
deeNlhLIwYk,Wiszy (Ile de France) - Dac An Vo,481,29
8j84FmT0o7Y,Ajustable (Occitanie) - Justine Don,479,30
fGLN-9il-4c,Ecotizen (Ile de France) - Agathe Leseche,467,31
IU0ton7pf9c,Disc'over (Provence-Alpes-Côte d’Azur) - Aurélien Boudon,457,32
PtN0HMg7Tmg,Zenkoi (Ile de France) - Thibaut Delatte,427,33
jySXrFMF_sM,OAK Innovation (Hauts de France) - Léane Peyrot,418,34
rAhVEQoyA3Y,IT Girls Academy (ITGA) - (Normandie) - Sonia KUETE,418,34
V_zF_MMOxrg,Skesia (Ile de France) - Jeffrey Lima,404,36
YBfjIpE8t-E,My Explora (Sud) - Pierre Escofet,389,37
EN6iKzlGIpI,Maré Tèt (Ile de France) - Cathleen Mondesir,384,38
U2NH7oSMnXU,Studio Ritmica (Auvergne Rhône Alpes) - Emilie Giuly,373,39
24k4Ytk9bU0,Liberteduballon (Île-de-France) - Raphael Weiss,366,40
CcVqKZ8BUnQ,Speakappy (Ile-de-France) - Laurine Catillon,360,41
sAZopQ34_VM,Les Minuscules  (Ile-de-France) - Augustine Durantel,350,42
ABjWfqJaTps,Mado (Auvergne Rhône Alpes) - Clara Monti,348,43
zbFwgdhJjC8,PreSkinS (Auvergne Rhône Alpes) - Hugo Cocquet,342,44
bamTZM5Etrg,Hyphos (Grand Est) - Noé Philippe,336,45
e0jkKBMLfks,Sandosa (Nouvelle Aquitaine) - Romane Forment,334,46
cpP4q3pS1Vc,Sam J (Occitanie) - Samantha VOLCY,330,47
WZydvyUlyq0,Krewzer (Grand Est) - Thibaut Pousse,324,48
i9e-beHIxJo,Handépassement (Ile de France) - Myriam Hakem,319,49
